sentence_id,transcript,sentence,gold_label,vote_sub,vote_boi,is_tie,vote_margin,mean_conf,std_conf,provider_split,gpt_mini_balanced__label,haiku_pattern__label,sonnet_skeptic__label,gpt_mini_balanced__confidence,haiku_pattern__confidence,sonnet_skeptic__confidence
6b0bfe492802,NKE_Q3-2026,"We're building long-term plans with Foot Locker and JD in athletic specialty, and we're fully committed to our partners in running specialty, football specialty and city specialty through our investments in product innovation and presentation.",substantive,3,0,False,3,0.7666666666666666,0.07637626158259735,False,substantive,substantive,substantive,0.7,0.85,0.75
6b9b5ca8c8f5,NKE_Q4-2025,"And so when I think about the longer term, our goal is to return to sustainable organic revenue growth and to see the recovery of these transitory impacts that we've been talking about as we've been repositioning the business.",substantive,0,3,False,3,0.7899999999999999,0.07937253933193772,False,boilerplate,boilerplate,boilerplate,0.7,0.85,0.82
6fce119ce6e4,FAST_Q1-2026,"Manufacturing activity remains solid, particularly in heavy manufacturing, which continues to benefit from our fastener expansion and momentum in key accounts.",substantive,3,0,False,3,0.8633333333333333,0.05131601439446889,False,substantive,substantive,substantive,0.85,0.92,0.82
7101e197402b,AMD_Q1-2024,"Embedded Design win momentum remains very strong as customers adopt our full portfolio of FPGAs, CPUs, GPUs and adaptive SoCs to address a larger portion of their compute needs.",substantive,3,0,False,3,0.84,0.08544003745317533,False,substantive,substantive,substantive,0.85,0.92,0.75
7515b138d23f,PLTR_Q2-2025,"Excluding the impact from strategic commercial contracts, second quarter commercial revenue grew 49% year-over-year and 14% sequentially.",substantive,3,0,False,3,0.9899999999999999,0.010000000000000009,False,substantive,substantive,substantive,1.0,0.98,0.99
76de08d9a406,NKE_Q3-2025,"There's 1.3 billion consumers, and it's our opportunity and what we've always done there is to invite and inspire those 1.3 billion consumers into sport, fitness and lifestyle sport and our team is doing a good job there.",substantive,3,0,False,3,0.7400000000000001,0.16370705543744904,False,substantive,substantive,substantive,0.7,0.92,0.6
7a34702732b4,INTC_Q4-2025,"Rising component pricing is a dynamic we continue to watch closely, especially relative to the client market and could limit our revenue opportunity this year.",substantive,3,0,False,3,0.84,0.08544003745317533,False,substantive,substantive,substantive,0.75,0.92,0.85
7ae00431614c,AMD_Q3-2024,"We also took a major step in the quarter to advance the x86 architecture, forming an ecosystem advisory group with Intel, several industry luminaries and the largest cloud PC and enterprise leaders to accelerate innovation by driving consistency and compatibility across both the x86 instruction set and architectural interfaces and ensuring we evolve x86 as a compute platform of choice for developers and customers.",substantive,3,0,False,3,0.8733333333333334,0.040414518843273836,False,substantive,substantive,substantive,0.85,0.92,0.85
7e55a3464002,JNJ_Q4-2025,"And with continued innovation in surgical instrumentation, including our recent launch of the ETHICON 4000 stapler, we anticipate continued growth as we reduce complications and elevate the surgical experience across specialties.",substantive,3,0,False,3,0.8066666666666666,0.051316014394468826,False,substantive,substantive,substantive,0.75,0.85,0.82
842dfdad8e79,FDX_Q2-2026,We expect continued FEC revenue momentum on a year-over-year basis in the fiscal second half.,substantive,3,0,False,3,0.84,0.08544003745317533,False,substantive,substantive,substantive,0.75,0.92,0.85
89c7d0aa96ab,BLK_Q4-2025,"We entered 2026 with strong momentum and our first year as a fully integrated firm with GIP, Preqin and HPS.",substantive,3,0,False,3,0.7666666666666666,0.07637626158259735,False,substantive,substantive,substantive,0.7,0.85,0.75
8ea59bcf4fef,PLTR_Q4-2025,"Excluding the impact from strategic commercial contracts, fourth quarter commercial revenue grew 86% year-over-year and 24% sequentially, and full year commercial revenue grew 65% year-over-year.",substantive,3,0,False,3,0.9933333333333333,0.005773502691896262,False,substantive,substantive,substantive,1.0,0.99,0.99
95713e3a4048,BLK_Q4-2025,"iShares net inflows of $181 billion in the fourth quarter once again demonstrated strong momentum into year-end, supported by seasonal portfolio reallocations.",substantive,3,0,False,3,0.9633333333333333,0.023094010767585053,False,substantive,substantive,substantive,0.95,0.95,0.99
b434e46ed9e1,GS_Q4-2025,"And even though we've grown Asset & Wealth Management very nicely, just given the scale of Global Banking & Markets, that's made the shift in mix slower than we might have all imagined if we go back 5, 6 years and kind of think about the trajectory that we're on.",substantive,3,0,False,3,0.7133333333333333,0.011547005383792525,False,substantive,substantive,substantive,0.7,0.72,0.72
b818f908e56b,PLTR_Q4-2023,"While there, we were proud to announce our strategic partnership to supply the Israeli defense ministry with technology to aid in addressing the current situation in Israel.",substantive,3,0,False,3,0.8733333333333334,0.040414518843273836,False,substantive,substantive,substantive,0.85,0.92,0.85
bab569d99c53,NVDA_Q3-2026,"Our customers continued to lean into 3 platform shifts, fueling exponential growth for accelerated computing, powerful AI models and agentic applications yet we are still in the early innings of these transitions that will impact our work across every industry.",substantive,3,0,False,3,0.8166666666666668,0.05773502691896257,False,substantive,substantive,substantive,0.85,0.85,0.75
bc95eaecead9,NKE_Q3-2024,And those products are on a trajectory to deliver multibillions of annual run rate of incremental revenue.,substantive,3,0,False,3,0.8166666666666668,0.05773502691896257,False,substantive,substantive,substantive,0.85,0.85,0.75
c5524abfba24,NKE_Q3-2025,"We plan to build on the momentum and doubled the distribution of Vomero 18 by mid-April, supported by a large scale running campaign.",substantive,3,0,False,3,0.8733333333333334,0.040414518843273836,False,substantive,substantive,substantive,0.85,0.92,0.85
d12b1727ce2b,JNJ_Q3-2025,"And after launching the world's first multifocal contact lens for people with astigmatism in the U.S. last quarter, we brought this latest member of the ACUVUE OASYS MAX 1-Day family to Europe and Korea in Q3, further strengthening our momentum.",substantive,3,0,False,3,0.9233333333333333,0.025166114784235794,False,substantive,substantive,substantive,0.9,0.95,0.92
e065d5770045,JNJ_Q4-2024,"Turning to MedTech for the full year, we reported a second year of over $30 billion in sales with growth across most parts of the business, including particularly strong momentum in cardiovascular and vision.",substantive,3,0,False,3,0.9566666666666667,0.011547005383792525,False,substantive,substantive,substantive,0.95,0.95,0.97
e5a47236fe04,NKE_Q2-2025,"Our Winning Isn't Comfortable running campaign won Ad Age's Best Ad of 2024, as our ground game built momentum at the Chicago and New York marathons.",substantive,3,0,False,3,0.8233333333333334,0.08736894948054105,False,substantive,substantive,substantive,0.8,0.92,0.75
e8a3a7dc825c,AVGO_Q4-2025,"And we see the spending momentum by our customers for -- in AI, continuing to accelerate in 2026.",substantive,3,0,False,3,0.7233333333333333,0.025166114784235853,False,substantive,substantive,substantive,0.7,0.75,0.72
