sentence_id,transcript,sentence,gold_label,vote_count,direction,sonnet_balanced__label,sonnet_skeptic__label,haiku_pattern__label,sonnet_balanced__confidence,sonnet_skeptic__confidence,haiku_pattern__confidence
a091133c17ab,BLK_Q1-2026,"All that means is the deficits are probably going to be rising or a need to do -- as they build out infrastructure, a need for more public, private is more realistic.",boilerplate,2,boilerplate_2v1,substantive,boilerplate,boilerplate,0.55,0.72,0.72
6b9b5ca8c8f5,NKE_Q4-2025,"And so when I think about the longer term, our goal is to return to sustainable organic revenue growth and to see the recovery of these transitory impacts that we've been talking about as we've been repositioning the business.",substantive,2,boilerplate_2v1,substantive,boilerplate,boilerplate,0.62,0.82,0.85
df1cc6f8dd65,JNJ_Q1-2024,"Innovation continues to be a main priority for the company, as demonstrated by our industry-leading R&D spend.",boilerplate,2,boilerplate_2v1,boilerplate,boilerplate,substantive,0.72,0.85,0.72
716762eb2123,BLK_Q1-2024,"It comes from organizational design, global footprinting using some of our innovation hubs around the world.",boilerplate,2,boilerplate_2v1,substantive,boilerplate,boilerplate,0.55,0.75,0.85
e1d1234eb8ed,INTC_Q4-2024,"And remind us again what the delta is in terms of cost structure, the margin dynamics of an EUV wafer?",substantive,2,boilerplate_2v1,substantive,boilerplate,boilerplate,0.6,0.72,0.85
94e5f6e77c5d,AVGO_Q1-2026,"But I'm talking about scaling up in a rack, in a cluster domain.",boilerplate,2,boilerplate_2v1,substantive,boilerplate,boilerplate,0.52,0.72,0.85
eb0c8f6004b8,PLTR_Q3-2025,"Anybody with specific domain expertise is more powerful, more valuable in our product than they were yesterday.",boilerplate,2,boilerplate_2v1,substantive,boilerplate,boilerplate,0.52,0.82,0.85
d262892fc946,AMD_Q4-2023,I think the rate and pace of growth will depend a little bit on the macro and just overall CapEx trends.,substantive,2,boilerplate_2v1,substantive,boilerplate,boilerplate,0.55,0.82,0.92
b6ac3549ea85,FDX_Q2-2025,"So we've got some opportunity to be a little bit more strategic, also to look at the 3PL market.",boilerplate,2,boilerplate_2v1,substantive,boilerplate,boilerplate,0.52,0.82,0.85
820eee423d81,NKE_Q4-2024,"And as we are saying, as we move into the end of this second half of this fiscal year, which we talk about is spring '25 and summer '25 of the seasons, the amount and breadth and depth of the innovation is just accelerating significantly.",boilerplate,2,boilerplate_2v1,substantive,boilerplate,boilerplate,0.62,0.82,0.85
1f9f68879e84,BLK_Q3-2025,"And depending on the status, I think, of legal and regulatory to more meaningful engage with our clients on exposures in the existing LifePath range.",boilerplate,2,boilerplate_2v1,substantive,boilerplate,boilerplate,0.52,0.72,0.85
d93a91d0d92c,AVGO_Q3-2024,"I'm not in a path of, in the meantime, a different trajectory of enabling enterprises to do AI on their own workloads.",boilerplate,2,boilerplate_2v1,substantive,boilerplate,boilerplate,0.52,0.72,0.85
17dc2718ec6d,JPM_Q3-2025,So it's almost a dishonest disclosure of these numbers.,boilerplate,2,boilerplate_2v1,substantive,boilerplate,boilerplate,0.52,0.62,0.85
9986e5438f1b,AVGO_Q4-2025,Are you going to continue to sell racks?,boilerplate,2,boilerplate_2v1,substantive,boilerplate,boilerplate,0.6,0.6,0.92
6e581cf4a33a,JPM_Q3-2025,"This administration is saying things and, from what we're seeing, transitioning to action quite quickly.",boilerplate,2,boilerplate_2v1,substantive,boilerplate,boilerplate,0.52,0.75,0.92
d641d3e1165a,AMD_Q2-2024,Is it the ASP uplift you're getting from the new products?,boilerplate,2,boilerplate_2v1,substantive,boilerplate,boilerplate,0.55,0.75,0.92
f878e9df7688,WFC_Q2-2024,We are also a different Wells Fargo in how we are executing on other strategic priorities to better serve our customers and help drive higher returns over time.,boilerplate,3,split,boilerplate,boilerplate,boilerplate,0.82,0.92,0.92
8a41787c13aa,AMD_Q4-2025,We also had some revenue from MI308 sales to customers in China.,substantive,3,split,substantive,substantive,substantive,0.85,0.85,0.92
738a7ad983ab,PLTR_Q4-2024,"Executives - Co-Founder, CEO & Director We're doing it.",boilerplate,3,split,boilerplate,boilerplate,boilerplate,0.85,0.95,0.95
b0e059320d10,JNJ_Q4-2024,"So really, I feel great about bringing CARVYKTI into earlier lines of therapy as well.",boilerplate,3,split,boilerplate,boilerplate,boilerplate,0.72,0.85,0.92
efe20179cef5,FAST_2026_01_20,"But I do think it's important to point out that we did see growth in our $2,000 to $5,000 customer sites, but 94% of the under-$5,000 decline was in the under $500 per month customer sites and almost 55% came from the under $100 customer sites for the year.",substantive,3,split,substantive,substantive,substantive,0.99,0.99,0.95
ee6c30d4e504,BLK_Q1-2026,"Executives - Senior MD, CFO & Global Head of Corporate Strategy Thanks, Brennan.",boilerplate,3,split,boilerplate,boilerplate,boilerplate,0.99,0.99,0.95
2e4539b755e7,WFC_Q3-2025,"If anything, in the multifamily space, where there were pockets of excess supply in certain parts of the country, that seems to be getting worked through in a reasonable way.",substantive,3,split,substantive,substantive,substantive,0.72,0.72,0.72
6d8838b0c9a3,NVDA_Q2-2025,We executed a change to the Blackwell GPU mass to improve production yields.,substantive,3,split,substantive,substantive,substantive,0.85,0.85,0.92
36e9e5d0f757,AVGO_Q3-2024,"Some of the merchant guys obviously are also in the hyperscaler today, but there's a process, obviously, of a transition going on.",substantive,3,split,substantive,substantive,substantive,0.55,0.55,0.72
4d81b4a3f4da,C_Q4-2023,We've got to be disciplined enough to dial them back.,boilerplate,3,split,boilerplate,boilerplate,boilerplate,0.72,0.85,0.92
e5df0abebb28,JPM_Q1-2026,"Revenue of $15.5 billion was up 10% year-on-year, primarily driven by higher markets revenue, higher asset management and investment banking fees and higher NII, driven by the impact of balance sheet growth, predominantly offset by the impact of lower rates.",substantive,3,split,substantive,substantive,substantive,0.99,0.99,0.99
84bf1c05b749,GS_Q3-2025,"We're constantly trying to create more capacity to do other things to support our clients and we think about it as a broad, big, diversified portfolio.",boilerplate,3,split,boilerplate,boilerplate,boilerplate,0.82,0.92,0.92
0b839d5c98da,FAST_Q3-2024,But it doesn't allow us to do it for that customer in a district that has 10 account numbers because they have 2 manufacturing plants in Southern Indiana.,substantive,3,split,substantive,substantive,substantive,0.55,0.55,0.72
0746e025ac29,JPM_Q2-2024,Is that you leaning into it or just a function of demand?,boilerplate,3,split,boilerplate,boilerplate,boilerplate,0.72,0.85,0.95
2d24953ed3d6,FDX_Q3-2024,And we're also leveraging the capacity that we have.,boilerplate,3,split,boilerplate,boilerplate,boilerplate,0.85,0.92,0.95
6b85be02128d,PLTR_Q3-2024,And we're going to prove this by opening up part of our products and allowing you to sit on government data.,substantive,3,split,substantive,substantive,substantive,0.62,0.6,0.85
bab569d99c53,NVDA_Q3-2026,"Our customers continued to lean into 3 platform shifts, fueling exponential growth for accelerated computing, powerful AI models and agentic applications yet we are still in the early innings of these transitions that will impact our work across every industry.",substantive,3,split,substantive,substantive,substantive,0.72,0.75,0.85
da91073a9adb,JNJ_Q1-2024,"Answer Executives - Executive VP & Worldwide Chairman of Innovative Medicine Well, thanks for the question, and thanks for asking about SPRAVATO.",boilerplate,3,split,boilerplate,boilerplate,boilerplate,0.95,0.97,0.95
2d56c6f0b5f0,NKE_Q2-2025,"We're optimistic about the actions that are already underway in product and brand, but we're still in the early innings of elevating the marketplace, both in NIKE Direct and with our wholesale partners.",boilerplate,3,split,boilerplate,boilerplate,boilerplate,0.62,0.75,0.85
72801fcbcbc1,BLK_Q3-2024,"Question Analysts - Senior Equity Research Analyst Sorry, can you hear me?",boilerplate,3,split,boilerplate,boilerplate,boilerplate,0.97,0.99,0.95
523d05f33e0e,FAST_Q3-2024,I also want to say what makes me feel better about the -- both the branch and the Onsite side of the business.,boilerplate,3,split,boilerplate,boilerplate,boilerplate,0.72,0.85,0.92
40250598d363,NKE_Q1-2026,"So hopefully, that helps provide a little bit of dimension on some of the seasonality.",boilerplate,3,split,boilerplate,boilerplate,boilerplate,0.92,0.95,0.92
57fe6a61478d,JPM_Q1-2024,And CRE loans were flat as higher rates continue to have an impact on originations and sales activity.,substantive,3,split,substantive,substantive,substantive,0.85,0.92,0.92
6145aff6361d,GS_Q3-2024,We remain very engaged with our regulators on creating a less volatile and more transparent process.,boilerplate,3,split,boilerplate,boilerplate,boilerplate,0.72,0.85,0.92
bb703c9eb6af,JNJ_Q4-2025,"In MedTech, we expect growth to be driven by continued uptake and market expansion of new product launches across our Cardiovascular, Surgery and Vision portfolios, including VARIPULSE in Electrophysiology, ETHICON 4000 in Surgery, and the OASYS MAX family in Vision.",substantive,3,split,substantive,substantive,substantive,0.97,0.97,0.95
168581d77009,NKE_Q3-2025,"We're starting to see our Win Now focused on accelerating our product portfolio against these 5 sports, running basketball, football, training and sportswear paying dividends.",substantive,3,split,substantive,substantive,substantive,0.72,0.72,0.85
8b3c470d12a9,JPM_Q1-2026,"Same risk be regulated in the same way, and it doesn't become the case that you just create a giant arbitrage back door or the provision on the payment of interest for stable funds.",substantive,2,substantive_2v1,substantive,substantive,boilerplate,0.62,0.6,0.72
498c983e10f2,INTC_Q2-2025,We're not giving out the guidance by business unit.,substantive,2,substantive_2v1,substantive,substantive,boilerplate,0.72,0.72,0.92
70bb48da5ab7,FAST_Q3-2025,"The only difference between now and then is we know what we know now, and that is it's going to be a little bit lower than we thought, which frankly, is a good thing because it tells me we've probably put in more substitutions in place.",substantive,2,substantive_2v1,substantive,substantive,boilerplate,0.62,0.6,0.85
459cb8f33fe5,WFC_Q4-2025,"So to that point, we do disclose that, and so we would encourage everyone to look at that disclosure and as you project forward to think about that number as opposed to just the pieces because it will -- the mix will change depending on the rate environment.",substantive,2,substantive_2v1,substantive,substantive,boilerplate,0.62,0.6,0.72
f27a859c8a0a,PLTR_Q2-2024,"And the answer to that for these countries really is reimagine how you produce and the people who do it are going to be people who are alumni of the companies that have actually built companies correctly, call it, the Palantir alumni and people from the SpaceX network are really the only people who have done these things.",substantive,2,substantive_2v1,substantive,substantive,boilerplate,0.62,0.6,0.72
722296907601,AVGO_Q3-2025,"And they are the guys who would invest, who need to invest a lot initially, in my view, on training, training of ever larger and larger clusters of ever more capable accelerators.",substantive,2,substantive_2v1,substantive,substantive,boilerplate,0.6,0.6,0.85
193ce06c5cdd,BLK_Q1-2026,"Much of the focus on wealth vehicles like BDCs, interval funds and tender funds.",substantive,2,substantive_2v1,substantive,substantive,boilerplate,0.72,0.72,0.85
9caa46df269d,BLK_Q1-2025,The euro debt aligns our capital structure with our global business.,substantive,2,substantive_2v1,substantive,boilerplate,substantive,0.55,0.75,0.72
1d88bd9705dd,PLTR_Q1-2024,Revenue from our largest customers continues to expand.,substantive,2,substantive_2v1,substantive,boilerplate,substantive,0.52,0.82,0.72
76202389d69f,BLK_Q1-2024,"They want their portfolios to be more holistically blending public and private markets, active in an index.",substantive,2,substantive_2v1,substantive,substantive,boilerplate,0.6,0.6,0.85
4661b7010f59,FDX_Q4-2024,"In FY '24, we remained focused on reducing our capital intensity, increasing ROIC, and continuing to provide increased stockholder returns all while maintaining a strong balance sheet.",substantive,2,substantive_2v1,substantive,substantive,boilerplate,0.62,0.6,0.85
5c9648ac032a,JPM_Q3-2024,"We've actually deployed a lot of capital, some of those almost have been paid off, some of it's done.",substantive,2,substantive_2v1,substantive,substantive,boilerplate,0.52,0.55,0.72
27413ea3102d,FAST_Q3-2025,If -- there's nothing in there that I'm going to lose sleep over other than cautioning everybody in August to slow that down because it doesn't do anything for Q3.,substantive,2,substantive_2v1,substantive,substantive,boilerplate,0.62,0.65,0.85
3c3838ae8f0d,FAST_2026_01_20,"So I mean it's a big focus for us next year and we definitely see that to be becoming an increasing number as we move forward, especially in the latter half of '26.",substantive,2,substantive_2v1,substantive,substantive,boilerplate,0.62,0.6,0.85
35cf82e6bd1c,NVDA_Q2-2025,That our ecosystem partners the world-leading IT companies used to help companies customize AI models and build bespoke AI applications.,substantive,2,substantive_2v1,substantive,substantive,boilerplate,0.6,0.55,0.85
43f192a4c531,C_Q3-2024,"I also hope that you would then see that as we deliver on the expense target that we have a path to continuing to deliver on the medium-term expense target, the drivers of which I mentioned earlier.",substantive,2,substantive_2v1,substantive,substantive,boilerplate,0.6,0.6,0.85
f5704f04db0c,GS_Q2-2025,"For example, last month's proposal on the recalibration of the enhanced SLR is a constructive step to returning the leverage requirement back to its intended purpose as a backstop measure.",substantive,2,substantive_2v1,substantive,substantive,boilerplate,0.72,0.75,0.85
c44bace6789a,FDX_Q4-2025,"Eddie brings deep expertise from his nearly 30-year career at FedEx, most recently as Corporate Vice President for Corporate Governance securities and tax law.",substantive,2,substantive_2v1,substantive,substantive,boilerplate,0.72,0.72,0.95
0b2a5f1e4a07,PLTR_Q4-2024,"We have taken a long bet over decades around the assumption that if we built the products that our partners -- most importantly, our partners in the West, most importantly, our partners in the U.S. -- ought to build, not what they wanted us to build, not what they mandated we should build, not what investors, venture capitalists or analysts were saying they reward us for building, that, that company would generate so much value that we would get a small percentage of that and we would end up as a massive significant and, much more importantly, impactful company that could power the West to its obvious innate superiority, expose things that weren't working, rebuild the whole infrastructure of a company.",substantive,2,substantive_2v1,substantive,substantive,boilerplate,0.72,0.72,0.85
d77a56534026,JPM_Q1-2025,JPMorgan will be fine with or without an SLR change.,substantive,2,substantive_2v1,substantive,substantive,boilerplate,0.72,0.72,0.85
e59eaf874875,NVDA_Q2-2025,NVIDIA NIMs accelerate and simplify model deployment.,substantive,2,substantive_2v1,substantive,substantive,boilerplate,0.55,0.6,0.85
ef0afc471d1f,NKE_Q3-2026,"So again, is that flat for the fourth quarter on EPS through the February quarter?",substantive,2,substantive_2v1,substantive,substantive,boilerplate,0.72,0.7,0.92
28831d896ea7,GS_Q2-2025,"The investment we've made to strengthen and grow our global client franchise, including our emphasis on scaling capital-light businesses have materially enhanced the resilience of our firm.",substantive,2,substantive_2v1,substantive,boilerplate,substantive,0.62,0.75,0.72
1ba41f0b3f08,GS_Q1-2024,"The sharp decrease sequentially, we're pleased with, as well as the year-over-year decrease.",substantive,2,substantive_2v1,substantive,boilerplate,substantive,0.52,0.82,0.72
1d634cb132fd,PLTR_Q1-2025,"You have Eastern Europe, you have Germany, France, you have -- they're very different Europes.",substantive,2,substantive_2v1,substantive,substantive,boilerplate,0.55,0.55,0.85
11a834eae02f,AVGO_Q4-2024,Those are not validated in our view under our model as customers.,substantive,2,substantive_2v1,substantive,substantive,boilerplate,0.55,0.6,0.85
